session_id,year,event_name,category,flag,scope,messages,missing_session_time,lap_scoped,driver_scoped
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,Flag,DOUBLE YELLOW,Sector,3,0,3,0
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,Flag,YELLOW,Sector,3,0,3,0
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,Flag,CLEAR,Track,2,0,2,0
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,Other,missing,missing,46,11,46,0
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,Flag,BLUE,Driver,41,0,41,41
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,Flag,YELLOW,Sector,2,2,2,0
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,Flag,CLEAR,Sector,2,2,2,0
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,Drs,missing,missing,2,1,2,0
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-italian-grand-prix-r,2025,Italian Grand Prix,Other,missing,missing,47,8,47,0
2025-italian-grand-prix-r,2025,Italian Grand Prix,Flag,CLEAR,Sector,7,5,7,0
2025-italian-grand-prix-r,2025,Italian Grand Prix,Flag,YELLOW,Sector,6,5,6,0
2025-italian-grand-prix-r,2025,Italian Grand Prix,Flag,BLUE,Driver,3,0,3,3
2025-italian-grand-prix-r,2025,Italian Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-italian-grand-prix-r,2025,Italian Grand Prix,Flag,BLACK AND WHITE,Driver,2,0,2,2
2025-italian-grand-prix-r,2025,Italian Grand Prix,Drs,missing,missing,2,1,2,0
2025-italian-grand-prix-r,2025,Italian Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-italian-grand-prix-r,2025,Italian Grand Prix,Flag,DOUBLE YELLOW,Sector,1,0,1,0
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,Other,missing,missing,16,2,16,0
