event_round,event_name,driver_code,lap_number,primary_category,secondary_reason_set,reason_count,product_recommendation,safe_for_replay,safe_for_lap_comparison,coverage_deficit_pct,p95_gap_excess_ms,path_ratio_excess_pct,speed_shape_excess_kmh,audit_priority
16,Italian Grand Prix,HAD,1,position_trace_discontinuity,atypical_speed_profile + pit_lane_or_safety_car_influenced + import_or_source_data_anomaly,4,exclude,False,False,0.0,0.0,0.6363707266728351,98.19012723949727,106.82649796617011
9,Spanish Grand Prix,ANT,54,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,18.706416857652602,0.0,106.7064168576526
16,Italian Grand Prix,GAS,1,position_trace_discontinuity,atypical_speed_profile + pit_lane_or_safety_car_influenced + import_or_source_data_anomaly,4,exclude,False,False,0.0,0.0,0.11101763062148429,97.86984433171664,105.98086196233812
10,Canadian Grand Prix,SAI,57,position_trace_discontinuity,atypical_speed_profile + pit_lane_or_safety_car_influenced + import_or_source_data_anomaly,4,exclude,False,False,0.0,0.0,1.9649760026710306,94.87820529175708,104.84318129442812
20,Mexico City Grand Prix,HAM,24,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,98.82192881618066,104.82192881618066
9,Spanish Grand Prix,ALB,27,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,98.46184184488499,104.46184184488499
22,Las Vegas Grand Prix,LAW,3,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,98.25575494028634,104.25575494028634
10,Canadian Grand Prix,STR,51,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,97.54232207840784,103.54232207840784
6,Miami Grand Prix,LAW,1,atypical_speed_profile,import_or_source_data_anomaly,2,keep_with_context_label,True,False,0.0,0.0,0.0,99.09250707792344,103.09250707792344
10,Canadian Grand Prix,HAD,13,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,96.95456400908901,102.95456400908901
20,Mexico City Grand Prix,TSU,37,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,95.94237768469526,101.94237768469526
21,São Paulo Grand Prix,PIA,39,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,95.75420644294684,101.75420644294684
10,Canadian Grand Prix,LAW,38,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,95.3423049799001,101.3423049799001
10,Canadian Grand Prix,BOR,49,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,95.31968057257367,101.31968057257367
