session_id,event_round,event_name,speed_bin_number,reference_laps,speed_q10_kmh,speed_median_kmh,speed_q90_kmh
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,14,719,285.1815789473684,296.10526315789474,307.24086687306504
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,15,719,195.96842105263158,205.1578947368421,214.3505882352941
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,16,719,277.0,282.22222222222223,287.06315789473683
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,17,719,308.73065015479875,312.3125,323.2730263157895
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,18,719,185.55,198.47058823529412,210.41333333333336
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,19,719,153.54526315789474,162.55555555555554,170.91111111111113
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,20,719,272.16,275.94117647058823,280.41830065359477
2025-miami-grand-prix-r,6,Miami Grand Prix,1,809,262.65833333333336,271.1111111111111,278.76
2025-miami-grand-prix-r,6,Miami Grand Prix,2,809,111.12352941176471,117.61904761904762,124.07333333333334
2025-miami-grand-prix-r,6,Miami Grand Prix,3,809,204.75620915032678,214.3125,223.67083333333332
2025-miami-grand-prix-r,6,Miami Grand Prix,4,809,271.63157894736844,276.8888888888889,281.8049122807017
2025-miami-grand-prix-r,6,Miami Grand Prix,5,809,217.22352941176473,227.05882352941177,238.80470588235295
2025-miami-grand-prix-r,6,Miami Grand Prix,6,809,163.5267973856209,171.26315789473685,179.0235294117647
2025-miami-grand-prix-r,6,Miami Grand Prix,7,809,167.40261437908498,183.52941176470588,198.38235294117646
2025-miami-grand-prix-r,6,Miami Grand Prix,8,809,273.8705882352941,280.5263157894737,286.19444444444446
2025-miami-grand-prix-r,6,Miami Grand Prix,9,809,308.4117647058824,311.5,317.8764705882353
2025-miami-grand-prix-r,6,Miami Grand Prix,10,809,298.27222222222224,307.3333333333333,317.6529411764706
2025-miami-grand-prix-r,6,Miami Grand Prix,11,809,107.30555555555556,113.70588235294117,120.73777777777778
2025-miami-grand-prix-r,6,Miami Grand Prix,12,809,105.71895424836602,110.58823529411765,115.22483660130719
2025-miami-grand-prix-r,6,Miami Grand Prix,13,809,107.76470588235294,113.0,117.72222222222223
2025-miami-grand-prix-r,6,Miami Grand Prix,14,809,86.56964285714285,90.25,93.58080495356037
2025-miami-grand-prix-r,6,Miami Grand Prix,15,809,197.9875,209.9375,220.33333333333334
2025-miami-grand-prix-r,6,Miami Grand Prix,16,809,288.2633333333333,291.8333333333333,295.56023391812863
2025-miami-grand-prix-r,6,Miami Grand Prix,17,809,311.92747252747256,316.0625,328.17083333333335
2025-miami-grand-prix-r,6,Miami Grand Prix,18,809,163.13333333333333,177.31578947368422,189.83333333333334
2025-miami-grand-prix-r,6,Miami Grand Prix,19,809,119.29084967320262,125.83333333333333,132.81470588235294
2025-miami-grand-prix-r,6,Miami Grand Prix,20,809,251.32549019607845,255.5,259.6470588235294
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,1,935,289.18,293.6666666666667,306.3125
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,2,935,301.25666666666666,307.06666666666666,328.9263736263736
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,3,935,197.4,220.6875,239.69333333333336
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,4,935,195.96666666666667,204.23076923076923,211.67252747252746
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,5,935,264.4823529411765,268.46666666666664,272.2780952380952
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,6,935,181.9271794871795,194.4375,209.2625
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,7,935,171.3361344537815,181.8,191.38076923076923
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,8,935,113.78571428571429,120.4,127.0635294117647
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,9,935,230.13714285714286,236.7058823529412,242.85384615384618
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,10,935,228.09948717948717,237.2,245.7
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,11,935,234.06196078431373,241.13333333333333,247.83428571428573
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,12,935,184.48,197.0,208.6153846153846
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,13,935,178.13725490196077,186.58333333333334,194.53176470588235
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,14,935,214.96470588235294,225.0,234.64444444444445
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,15,935,110.54857142857142,115.57142857142857,120.44000000000001
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,16,935,222.8672268907563,229.5,235.8
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,17,935,277.15384615384613,281.6666666666667,286.46181818181816
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,18,935,131.025,138.11764705882354,146.13575757575757
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,19,935,160.16,166.52941176470588,173.2
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,20,935,251.18588235294118,255.0,259.8
2025-monaco-grand-prix-r,8,Monaco Grand Prix,1,1159,180.375,192.41666666666666,203.42857142857142
2025-monaco-grand-prix-r,8,Monaco Grand Prix,2,1159,157.41333333333333,167.14285714285714,175.2214285714286
2025-monaco-grand-prix-r,8,Monaco Grand Prix,3,1159,241.93238095238095,248.5,253.09166666666667
2025-monaco-grand-prix-r,8,Monaco Grand Prix,4,1159,155.72,167.7058823529412,179.42857142857142
2025-monaco-grand-prix-r,8,Monaco Grand Prix,5,1159,140.5648351648352,151.6,159.75384615384615
2025-monaco-grand-prix-r,8,Monaco Grand Prix,6,1159,109.14761904761905,121.93333333333334,132.8502564102564
2025-monaco-grand-prix-r,8,Monaco Grand Prix,7,1159,89.14095238095238,94.71428571428571,99.75
2025-monaco-grand-prix-r,8,Monaco Grand Prix,8,1159,57.333333333333336,61.4,65.44090909090909
2025-monaco-grand-prix-r,8,Monaco Grand Prix,9,1159,87.93333333333334,91.33333333333333,94.78571428571429
2025-monaco-grand-prix-r,8,Monaco Grand Prix,10,1159,110.84285714285714,122.53846153846153,133.87515151515152
2025-monaco-grand-prix-r,8,Monaco Grand Prix,11,1159,233.3,240.33333333333334,247.71809523809523
2025-monaco-grand-prix-r,8,Monaco Grand Prix,12,1159,214.66190476190476,238.15384615384616,254.3466666666667
2025-monaco-grand-prix-r,8,Monaco Grand Prix,13,1159,75.24705882352941,81.0625,87.27047619047619
2025-monaco-grand-prix-r,8,Monaco Grand Prix,14,1159,164.81704545454545,174.73333333333332,182.07142857142858
2025-monaco-grand-prix-r,8,Monaco Grand Prix,15,1159,171.14095238095237,183.0,192.57714285714286
2025-monaco-grand-prix-r,8,Monaco Grand Prix,16,1159,155.4375,170.0,182.39102564102564
2025-monaco-grand-prix-r,8,Monaco Grand Prix,17,1159,138.58487394957984,147.0,154.20285714285714
2025-monaco-grand-prix-r,8,Monaco Grand Prix,18,1159,73.625,77.76923076923077,81.46666666666667
2025-monaco-grand-prix-r,8,Monaco Grand Prix,19,1159,98.38269230769231,105.73333333333333,112.60499999999999
2025-monaco-grand-prix-r,8,Monaco Grand Prix,20,1159,221.26333333333335,227.41666666666666,233.25
2025-spanish-grand-prix-r,9,Spanish Grand Prix,1,981,293.6,297.42857142857144,308.0
2025-spanish-grand-prix-r,9,Spanish Grand Prix,2,981,305.7647058823529,309.93333333333334,324.1333333333333
2025-spanish-grand-prix-r,9,Spanish Grand Prix,3,981,154.5,175.0,190.11764705882354
2025-spanish-grand-prix-r,9,Spanish Grand Prix,4,981,176.53333333333333,183.3125,190.14285714285714
2025-spanish-grand-prix-r,9,Spanish Grand Prix,5,981,212.46153846153845,221.3,232.5
2025-spanish-grand-prix-r,9,Spanish Grand Prix,6,981,251.6,260.8,268.06666666666666
2025-spanish-grand-prix-r,9,Spanish Grand Prix,7,981,136.71428571428572,145.75,154.3125
2025-spanish-grand-prix-r,9,Spanish Grand Prix,8,981,196.8125,203.94444444444446,210.3846153846154
2025-spanish-grand-prix-r,9,Spanish Grand Prix,9,981,105.625,112.5,120.0
2025-spanish-grand-prix-r,9,Spanish Grand Prix,10,981,178.07692307692307,187.94444444444446,197.5
2025-spanish-grand-prix-r,9,Spanish Grand Prix,11,981,170.9375,181.14285714285714,190.71428571428572
2025-spanish-grand-prix-r,9,Spanish Grand Prix,12,981,196.0625,204.35294117647058,211.4
2025-spanish-grand-prix-r,9,Spanish Grand Prix,13,981,223.94117647058823,233.13333333333333,242.5
2025-spanish-grand-prix-r,9,Spanish Grand Prix,14,981,268.94117647058823,274.8125,281.2307692307692
2025-spanish-grand-prix-r,9,Spanish Grand Prix,15,981,120.15384615384616,129.25,140.21428571428572
2025-spanish-grand-prix-r,9,Spanish Grand Prix,16,981,150.8125,156.2,162.4375
2025-spanish-grand-prix-r,9,Spanish Grand Prix,17,981,116.75,121.6,127.33333333333333
2025-spanish-grand-prix-r,9,Spanish Grand Prix,18,981,193.5,200.58823529411765,208.125
2025-spanish-grand-prix-r,9,Spanish Grand Prix,19,981,241.69230769230768,248.625,255.92857142857142
2025-spanish-grand-prix-r,9,Spanish Grand Prix,20,981,252.78571428571428,258.9166666666667,265.14285714285717
2025-canadian-grand-prix-r,10,Canadian Grand Prix,1,1148,220.93190476190478,231.53333333333333,242.0375
2025-canadian-grand-prix-r,10,Canadian Grand Prix,2,1148,91.55375,95.66666666666667,100.02
2025-canadian-grand-prix-r,10,Canadian Grand Prix,3,1148,144.22095588235294,154.84615384615384,165.0
2025-canadian-grand-prix-r,10,Canadian Grand Prix,4,1148,186.25,193.79285714285714,202.0
2025-canadian-grand-prix-r,10,Canadian Grand Prix,5,1148,165.42499999999998,177.57738095238096,187.97625
2025-canadian-grand-prix-r,10,Canadian Grand Prix,6,1148,236.85,242.0,248.3846153846154
2025-canadian-grand-prix-r,10,Canadian Grand Prix,7,1148,114.3125,120.13333333333334,127.26875
2025-canadian-grand-prix-r,10,Canadian Grand Prix,8,1148,176.8521212121212,191.53589743589743,202.3625
2025-canadian-grand-prix-r,10,Canadian Grand Prix,9,1148,268.4348214285714,273.2857142857143,278.6236263736264
2025-canadian-grand-prix-r,10,Canadian Grand Prix,10,1148,186.21785714285716,199.44957983193277,213.78125
2025-canadian-grand-prix-r,10,Canadian Grand Prix,11,1148,166.06541666666666,180.58125,191.08111888111887
2025-canadian-grand-prix-r,10,Canadian Grand Prix,12,1148,259.2392857142857,265.9166666666667,271.0
2025-canadian-grand-prix-r,10,Canadian Grand Prix,13,1148,154.62666666666667,170.03571428571428,187.51153846153846
2025-canadian-grand-prix-r,10,Canadian Grand Prix,14,1148,79.66666666666667,88.76696832579185,97.37857142857143
2025-canadian-grand-prix-r,10,Canadian Grand Prix,15,1148,203.65604395604396,217.40833333333333,227.25042016806722
2025-canadian-grand-prix-r,10,Canadian Grand Prix,16,1148,281.1666666666667,284.5798319327731,288.8647058823529
2025-canadian-grand-prix-r,10,Canadian Grand Prix,17,1148,302.0,306.73333333333335,324.4426136363636
2025-canadian-grand-prix-r,10,Canadian Grand Prix,18,1148,210.33846153846153,231.07417582417582,247.07307692307694
2025-canadian-grand-prix-r,10,Canadian Grand Prix,19,1148,157.5388888888889,167.6076923076923,175.7923076923077
2025-canadian-grand-prix-r,10,Canadian Grand Prix,20,1148,257.8,262.3100961538462,267.2958823529412
2025-austrian-grand-prix-r,11,Austrian Grand Prix,1,930,289.61538461538464,294.0,303.75357142857143
2025-austrian-grand-prix-r,11,Austrian Grand Prix,2,930,166.33076923076925,181.0,192.93076923076924
2025-austrian-grand-prix-r,11,Austrian Grand Prix,3,930,181.7237762237762,189.6076923076923,196.46647727272727
2025-austrian-grand-prix-r,11,Austrian Grand Prix,4,930,266.765034965035,271.29285714285714,279.17307692307696
2025-austrian-grand-prix-r,11,Austrian Grand Prix,5,930,293.5379487179487,298.1602564102564,311.3875
2025-austrian-grand-prix-r,11,Austrian Grand Prix,6,930,135.78406593406592,164.44166666666666,182.92362637362638
2025-austrian-grand-prix-r,11,Austrian Grand Prix,7,930,89.28380952380952,96.46153846153847,104.15164835164835
2025-austrian-grand-prix-r,11,Austrian Grand Prix,8,930,211.25,219.73863636363637,229.0076923076923
2025-austrian-grand-prix-r,11,Austrian Grand Prix,9,930,279.3054945054945,283.7321428571429,295.10333333333335
2025-austrian-grand-prix-r,11,Austrian Grand Prix,10,930,179.60384615384615,208.92820512820515,230.25314685314686
2025-austrian-grand-prix-r,11,Austrian Grand Prix,11,930,114.66428571428573,120.79285714285714,128.5
2025-austrian-grand-prix-r,11,Austrian Grand Prix,12,930,218.99,226.14835164835165,233.46205128205128
2025-austrian-grand-prix-r,11,Austrian Grand Prix,13,930,194.87321428571428,213.92582417582418,227.0076923076923
2025-austrian-grand-prix-r,11,Austrian Grand Prix,14,930,192.84153846153845,199.78571428571428,205.61813186813185
2025-austrian-grand-prix-r,11,Austrian Grand Prix,15,930,194.73142857142855,203.92307692307693,212.85809523809525
2025-austrian-grand-prix-r,11,Austrian Grand Prix,16,930,245.53794871794872,250.07417582417582,254.85714285714286
2025-austrian-grand-prix-r,11,Austrian Grand Prix,17,930,282.3957142857143,286.3205128205128,290.71785714285716
2025-austrian-grand-prix-r,11,Austrian Grand Prix,18,930,221.46153846153845,234.46410256410257,246.00625
2025-austrian-grand-prix-r,11,Austrian Grand Prix,19,930,175.66363636363636,184.15384615384616,192.07761904761907
2025-austrian-grand-prix-r,11,Austrian Grand Prix,20,930,241.69182692307692,246.6153846153846,251.33333333333334
2025-british-grand-prix-r,12,British Grand Prix,1,224,246.68333333333334,265.99603174603175,276.97017543859647
2025-british-grand-prix-r,12,British Grand Prix,2,224,214.41868421052632,253.02380952380952,273.86583850931675
2025-british-grand-prix-r,12,British Grand Prix,3,224,120.045,131.32456140350877,155.44853801169594
2025-british-grand-prix-r,12,British Grand Prix,4,224,85.57708333333333,90.2673796791444,97.66348684210527
2025-british-grand-prix-r,12,British Grand Prix,5,224,144.01818181818183,164.85000000000002,180.85500000000002
2025-british-grand-prix-r,12,British Grand Prix,6,224,262.59026315789475,273.5,280.0183333333334
2025-british-grand-prix-r,12,British Grand Prix,7,224,173.51,206.6984126984127,230.5425
2025-british-grand-prix-r,12,British Grand Prix,8,224,110.6821052631579,118.3842105263158,127.80555555555556
2025-british-grand-prix-r,12,British Grand Prix,9,224,111.58657894736842,124.1,151.1627272727273
2025-british-grand-prix-r,12,British Grand Prix,10,224,241.46666666666667,253.61111111111111,265.0833333333333
