session_id,event_round,event_name,driver_code,lap_number,bad_flag_flip_count,replay_safety_flip_count,lap_comparison_safety_flip_count,recommendation_flip_count,primary_category_flip_count,baseline_bad_lap_any_category,baseline_safe_for_replay,baseline_safe_for_lap_comparison,baseline_product_recommendation,baseline_primary_category,any_sensitivity_flip_count
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,LAW,34,0,0,0,0,1,True,True,False,keep_with_context_label,import_or_source_data_anomaly,1
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,STR,34,0,0,0,0,1,True,True,False,keep_with_context_label,atypical_speed_profile,1
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,COL,28,0,0,0,0,1,True,True,False,keep_with_context_label,import_or_source_data_anomaly,1
2025-emilia-romagna-grand-prix-r,7,Emilia Romagna Grand Prix,GAS,3,0,0,0,0,1,True,True,False,keep_with_context_label,atypical_speed_profile,1
2025-monaco-grand-prix-r,8,Monaco Grand Prix,TSU,8,0,0,0,0,1,True,True,False,keep_with_context_label,import_or_source_data_anomaly,1
2025-dutch-grand-prix-r,15,Dutch Grand Prix,BOR,25,0,0,0,0,1,True,True,False,keep_with_context_label,atypical_speed_profile,1
2025-dutch-grand-prix-r,15,Dutch Grand Prix,HUL,25,0,0,0,0,1,True,True,False,keep_with_context_label,import_or_source_data_anomaly,1
2025-dutch-grand-prix-r,15,Dutch Grand Prix,TSU,55,0,0,0,0,1,True,True,False,keep_with_context_label,atypical_speed_profile,1
2025-singapore-grand-prix-r,18,Singapore Grand Prix,GAS,50,0,0,0,0,1,True,True,False,keep_with_context_label,import_or_source_data_anomaly,1
2025-singapore-grand-prix-r,18,Singapore Grand Prix,OCO,50,0,0,0,0,1,True,True,False,keep_with_context_label,import_or_source_data_anomaly,1
2025-united-states-grand-prix-r,19,United States Grand Prix,HAM,9,0,0,0,0,1,True,True,False,keep_with_context_label,atypical_speed_profile,1
2025-united-states-grand-prix-r,19,United States Grand Prix,LEC,9,0,0,0,0,1,True,True,False,keep_with_context_label,atypical_speed_profile,1
2025-united-states-grand-prix-r,19,United States Grand Prix,NOR,9,0,0,0,0,1,True,True,False,keep_with_context_label,atypical_speed_profile,1
2025-united-states-grand-prix-r,19,United States Grand Prix,VER,9,0,0,0,0,1,True,True,False,keep_with_context_label,atypical_speed_profile,1
2025-mexico-city-grand-prix-r,20,Mexico City Grand Prix,BOR,69,0,0,0,0,1,True,True,False,keep_with_context_label,import_or_source_data_anomaly,1
2025-s-o-paulo-grand-prix-r,21,São Paulo Grand Prix,ANT,6,0,0,0,0,1,True,True,False,keep_with_context_label,import_or_source_data_anomaly,1
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,HAD,4,0,0,0,0,1,True,True,False,keep_with_context_label,atypical_speed_profile,1
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,NOR,4,0,0,0,0,1,True,True,False,keep_with_context_label,atypical_speed_profile,1
