event_round,event_name,driver_code,total_laps,bad_laps,integrity_laps,context_laps,shape_laps,replay_unsafe_laps,lap_comparison_unsafe_laps,bad_pct,integrity_pct,context_pct,shape_pct,replay_unsafe_pct,lap_comparison_unsafe_pct
1,Australian Grand Prix,ALB,57,25,23,15,20,3,25,43.859649122807014,40.35087719298245,26.31578947368421,35.08771929824561,5.263157894736842,43.859649122807014
1,Australian Grand Prix,HUL,57,25,23,15,20,3,25,43.859649122807014,40.35087719298245,26.31578947368421,35.08771929824561,5.263157894736842,43.859649122807014
1,Australian Grand Prix,PIA,57,25,24,13,17,5,25,43.859649122807014,42.10526315789473,22.807017543859647,29.82456140350877,8.771929824561402,43.859649122807014
1,Australian Grand Prix,RUS,57,25,23,14,18,4,25,43.859649122807014,40.35087719298245,24.561403508771928,31.57894736842105,7.017543859649122,43.859649122807014
1,Australian Grand Prix,STR,57,25,23,15,20,3,25,43.859649122807014,40.35087719298245,26.31578947368421,35.08771929824561,5.263157894736842,43.859649122807014
1,Australian Grand Prix,TSU,57,25,22,15,19,4,25,43.859649122807014,38.59649122807017,26.31578947368421,33.33333333333333,7.017543859649122,43.859649122807014
13,Belgian Grand Prix,ALO,44,19,9,16,11,3,19,43.18181818181818,20.454545454545457,36.36363636363637,25.0,6.8181818181818175,43.18181818181818
13,Belgian Grand Prix,ANT,44,19,9,16,12,3,19,43.18181818181818,20.454545454545457,36.36363636363637,27.27272727272727,6.8181818181818175,43.18181818181818
13,Belgian Grand Prix,BEA,44,19,6,16,7,3,19,43.18181818181818,13.636363636363635,36.36363636363637,15.909090909090908,6.8181818181818175,43.18181818181818
13,Belgian Grand Prix,BOR,44,19,7,16,7,3,19,43.18181818181818,15.909090909090908,36.36363636363637,15.909090909090908,6.8181818181818175,43.18181818181818
13,Belgian Grand Prix,GAS,44,19,7,16,9,3,19,43.18181818181818,15.909090909090908,36.36363636363637,20.454545454545457,6.8181818181818175,43.18181818181818
13,Belgian Grand Prix,HAM,44,19,6,16,7,3,19,43.18181818181818,13.636363636363635,36.36363636363637,15.909090909090908,6.8181818181818175,43.18181818181818
13,Belgian Grand Prix,HUL,44,19,8,16,10,3,19,43.18181818181818,18.181818181818183,36.36363636363637,22.727272727272727,6.8181818181818175,43.18181818181818
13,Belgian Grand Prix,LAW,44,19,6,16,8,3,19,43.18181818181818,13.636363636363635,36.36363636363637,18.181818181818183,6.8181818181818175,43.18181818181818
13,Belgian Grand Prix,LEC,44,19,6,16,6,3,19,43.18181818181818,13.636363636363635,36.36363636363637,13.636363636363635,6.8181818181818175,43.18181818181818
13,Belgian Grand Prix,RUS,44,19,6,16,7,3,19,43.18181818181818,13.636363636363635,36.36363636363637,15.909090909090908,6.8181818181818175,43.18181818181818
13,Belgian Grand Prix,STR,44,19,6,16,10,3,19,43.18181818181818,13.636363636363635,36.36363636363637,22.727272727272727,6.8181818181818175,43.18181818181818
13,Belgian Grand Prix,VER,44,19,6,16,6,3,19,43.18181818181818,13.636363636363635,36.36363636363637,13.636363636363635,6.8181818181818175,43.18181818181818
1,Australian Grand Prix,NOR,57,24,22,13,18,4,24,42.10526315789473,38.59649122807017,22.807017543859647,31.57894736842105,7.017543859649122,42.10526315789473
1,Australian Grand Prix,VER,57,24,21,13,18,4,24,42.10526315789473,36.84210526315789,22.807017543859647,31.57894736842105,7.017543859649122,42.10526315789473
11,Austrian Grand Prix,ALB,15,6,6,3,6,0,6,40.0,40.0,20.0,40.0,0.0,40.0
15,Dutch Grand Prix,ALO,72,26,20,12,20,0,26,36.11111111111111,27.77777777777778,16.666666666666664,27.77777777777778,0.0,36.11111111111111
15,Dutch Grand Prix,SAI,72,26,21,14,18,0,26,36.11111111111111,29.166666666666668,19.444444444444446,25.0,0.0,36.11111111111111
15,Dutch Grand Prix,COL,72,25,19,12,18,0,25,34.72222222222222,26.38888888888889,16.666666666666664,25.0,0.0,34.72222222222222
15,Dutch Grand Prix,HUL,72,25,20,12,18,0,25,34.72222222222222,27.77777777777778,16.666666666666664,25.0,0.0,34.72222222222222
15,Dutch Grand Prix,LAW,72,25,19,13,17,0,25,34.72222222222222,26.38888888888889,18.055555555555554,23.61111111111111,0.0,34.72222222222222
15,Dutch Grand Prix,STR,72,25,19,12,19,0,25,34.72222222222222,26.38888888888889,16.666666666666664,26.38888888888889,0.0,34.72222222222222
15,Dutch Grand Prix,ANT,72,24,18,14,18,0,24,33.33333333333333,25.0,19.444444444444446,25.0,0.0,33.33333333333333
15,Dutch Grand Prix,BOR,72,24,19,10,19,0,24,33.33333333333333,26.38888888888889,13.88888888888889,26.38888888888889,0.0,33.33333333333333
15,Dutch Grand Prix,TSU,72,24,18,12,18,0,24,33.33333333333333,25.0,16.666666666666664,25.0,0.0,33.33333333333333
21,São Paulo Grand Prix,HAM,37,12,12,7,12,0,12,32.432432432432435,32.432432432432435,18.91891891891892,32.432432432432435,0.0,32.432432432432435
21,São Paulo Grand Prix,STR,71,23,12,15,12,0,23,32.3943661971831,16.901408450704224,21.12676056338028,16.901408450704224,0.0,32.3943661971831
15,Dutch Grand Prix,GAS,72,23,18,10,16,0,23,31.944444444444443,25.0,13.88888888888889,22.22222222222222,0.0,31.944444444444443
15,Dutch Grand Prix,OCO,72,23,17,10,17,0,23,31.944444444444443,23.61111111111111,13.88888888888889,23.61111111111111,0.0,31.944444444444443
15,Dutch Grand Prix,RUS,72,23,17,12,16,0,23,31.944444444444443,23.61111111111111,16.666666666666664,22.22222222222222,0.0,31.944444444444443
21,São Paulo Grand Prix,ALB,71,22,11,15,11,0,22,30.985915492957744,15.492957746478872,21.12676056338028,15.492957746478872,0.0,30.985915492957744
21,São Paulo Grand Prix,GAS,71,22,11,15,11,0,22,30.985915492957744,15.492957746478872,21.12676056338028,15.492957746478872,0.0,30.985915492957744
21,São Paulo Grand Prix,HAD,71,22,11,15,11,0,22,30.985915492957744,15.492957746478872,21.12676056338028,15.492957746478872,0.0,30.985915492957744
21,São Paulo Grand Prix,SAI,71,22,11,15,11,0,22,30.985915492957744,15.492957746478872,21.12676056338028,15.492957746478872,0.0,30.985915492957744
15,Dutch Grand Prix,ALB,72,22,16,12,16,0,22,30.555555555555557,22.22222222222222,16.666666666666664,22.22222222222222,0.0,30.555555555555557
15,Dutch Grand Prix,BEA,72,22,16,11,16,1,22,30.555555555555557,22.22222222222222,15.277777777777779,22.22222222222222,1.3888888888888888,30.555555555555557
15,Dutch Grand Prix,HAD,72,22,16,12,16,0,22,30.555555555555557,22.22222222222222,16.666666666666664,22.22222222222222,0.0,30.555555555555557
15,Dutch Grand Prix,PIA,72,22,16,12,16,0,22,30.555555555555557,22.22222222222222,16.666666666666664,22.22222222222222,0.0,30.555555555555557
15,Dutch Grand Prix,VER,72,22,16,12,16,0,22,30.555555555555557,22.22222222222222,16.666666666666664,22.22222222222222,0.0,30.555555555555557
1,Australian Grand Prix,ALO,33,10,8,6,4,4,10,30.303030303030305,24.242424242424242,18.181818181818183,12.121212121212121,12.121212121212121,30.303030303030305
23,Qatar Grand Prix,STR,55,16,10,13,10,0,16,29.09090909090909,18.181818181818183,23.636363636363637,18.181818181818183,0.0,29.09090909090909
6,Miami Grand Prix,BOR,31,9,9,2,8,1,9,29.03225806451613,29.03225806451613,6.451612903225806,25.806451612903224,3.225806451612903,29.03225806451613
