event_round,event_name,driver_code,total_laps,bad_laps,integrity_laps,context_laps,shape_laps,replay_unsafe_laps,lap_comparison_unsafe_laps,bad_pct,integrity_pct,context_pct,shape_pct,replay_unsafe_pct,lap_comparison_unsafe_pct
7,Emilia Romagna Grand Prix,LEC,63,15,14,5,13,0,15,23.809523809523807,22.22222222222222,7.936507936507936,20.634920634920633,0.0,23.809523809523807
7,Emilia Romagna Grand Prix,PIA,63,15,14,5,14,0,15,23.809523809523807,22.22222222222222,7.936507936507936,22.22222222222222,0.0,23.809523809523807
7,Emilia Romagna Grand Prix,RUS,63,15,14,5,13,0,15,23.809523809523807,22.22222222222222,7.936507936507936,20.634920634920633,0.0,23.809523809523807
7,Emilia Romagna Grand Prix,SAI,63,15,14,5,14,0,15,23.809523809523807,22.22222222222222,7.936507936507936,22.22222222222222,0.0,23.809523809523807
8,Monaco Grand Prix,RUS,76,18,12,11,9,0,18,23.684210526315788,15.789473684210526,14.473684210526317,11.842105263157894,0.0,23.684210526315788
19,United States Grand Prix,BOR,55,13,10,7,5,0,13,23.636363636363637,18.181818181818183,12.727272727272727,9.090909090909092,0.0,23.636363636363637
17,Azerbaijan Grand Prix,ANT,51,12,6,8,3,3,12,23.52941176470588,11.76470588235294,15.686274509803921,5.88235294117647,5.88235294117647,23.52941176470588
17,Azerbaijan Grand Prix,BEA,51,12,6,7,4,3,12,23.52941176470588,11.76470588235294,13.725490196078432,7.8431372549019605,5.88235294117647,23.52941176470588
17,Azerbaijan Grand Prix,BOR,51,12,6,8,3,3,12,23.52941176470588,11.76470588235294,15.686274509803921,5.88235294117647,5.88235294117647,23.52941176470588
17,Azerbaijan Grand Prix,HUL,51,12,6,8,3,3,12,23.52941176470588,11.76470588235294,15.686274509803921,5.88235294117647,5.88235294117647,23.52941176470588
17,Azerbaijan Grand Prix,LAW,51,12,6,8,3,3,12,23.52941176470588,11.76470588235294,15.686274509803921,5.88235294117647,5.88235294117647,23.52941176470588
17,Azerbaijan Grand Prix,LEC,51,12,6,8,3,3,12,23.52941176470588,11.76470588235294,15.686274509803921,5.88235294117647,5.88235294117647,23.52941176470588
17,Azerbaijan Grand Prix,NOR,51,12,6,8,3,4,12,23.52941176470588,11.76470588235294,15.686274509803921,5.88235294117647,7.8431372549019605,23.52941176470588
17,Azerbaijan Grand Prix,SAI,51,12,6,8,3,3,12,23.52941176470588,11.76470588235294,15.686274509803921,5.88235294117647,5.88235294117647,23.52941176470588
