session_id,year,event_name,driver_code,segment_id,start_ms,end_ms,rows,start_lap,end_lap,car_gap_rows,car_sample_old_rows,location_gap_rows,location_sample_old_rows,other_unknown_rows,duration_ms,dominant_family
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,BOR,122,7565645,7567645,21,53,53,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,COL,122,7565645,7567645,21,53,53,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,GAS,122,7565645,7567645,21,53,53,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,HAD,122,7565645,7567645,21,53,53,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,HAM,122,7565645,7567645,21,53,53,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,HUL,122,7565645,7567645,21,53,53,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,LAW,122,7565645,7567645,21,53,53,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,LEC,122,7565645,7567645,21,54,54,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,NOR,122,7565645,7567645,21,54,54,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,OCO,122,7565645,7567645,21,53,53,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,PIA,122,7565645,7567645,21,54,54,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,RUS,122,7565645,7567645,21,54,54,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,SAI,122,7565645,7567645,21,53,53,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,STR,122,7565645,7567645,21,52,53,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,TSU,122,7565645,7567645,21,53,53,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,VER,122,7565645,7567645,21,54,54,21,0,0,0,0,2100,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,ALB,214,7837487,7839387,20,56,56,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,ALO,214,7837487,7839387,20,56,56,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,ANT,214,7837487,7839387,20,56,56,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,BEA,214,7837487,7839387,20,56,56,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,BOR,214,7837487,7839387,20,56,56,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,COL,214,7837487,7839387,20,55,55,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,GAS,214,7837487,7839387,20,56,56,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,HAD,214,7837487,7839387,20,56,56,11,0,9,0,0,2000,car_gap_too_large
