session_id,event_name,normalized_message,messages,first_session_time_ms,last_session_time_ms,taxonomy,example_message,span_ms
2025-s-o-paulo-grand-prix-r,São Paulo Grand Prix,green light - pit exit open,2,194000.0,194000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-united-states-grand-prix-r,United States Grand Prix,green light - pit exit open,2,220000.0,220000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-qatar-grand-prix-r,Qatar Grand Prix,track surface slippery in track sector #,2,5153000.0,5155000.0,other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 1,2000.0
2025-qatar-grand-prix-r,Qatar Grand Prix,waved blue flag for car # (gas) timed at #:#:#,2,4947000.0,4950000.0,flags,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 20:22:26,3000.0
2025-canadian-grand-prix-r,Canadian Grand Prix,waved blue flag for car # (oco) timed at #:#:#,2,4632000.0,4640000.0,flags,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:17:11,8000.0
2025-japanese-grand-prix-r,Japanese Grand Prix,waved blue flag for car # (str) timed at #:#:#,2,4423000.0,4431000.0,flags,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:13:43,8000.0
2025-las-vegas-grand-prix-r,Las Vegas Grand Prix,waved blue flag for car # (alb) timed at #:#:#,2,3722000.0,3730000.0,flags,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 21:02:02,8000.0
2025-canadian-grand-prix-r,Canadian Grand Prix,double yellow in track sector #,2,5225000.0,5239000.0,flags,DOUBLE YELLOW IN TRACK SECTOR 1,14000.0
2025-s-o-paulo-grand-prix-r,São Paulo Grand Prix,yellow in track sector #,2,759000.0,775000.0,flags,YELLOW IN TRACK SECTOR 5,16000.0
2025-emilia-romagna-grand-prix-r,Emilia Romagna Grand Prix,waved blue flag for car # (gas) timed at #:#:#,2,3962000.0,3981000.0,flags,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:06:01,19000.0
2025-canadian-grand-prix-r,Canadian Grand Prix,waved blue flag for car # (tsu) timed at #:#:#,2,4893000.0,4915000.0,flags,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 15:21:32,22000.0
2025-australian-grand-prix-r,Australian Grand Prix,waved blue flag for car # (pia) timed at #:#:#,2,6009000.0,6033000.0,flags,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:40:09,24000.0
2025-saudi-arabian-grand-prix-r,Saudi Arabian Grand Prix,waved blue flag for car # (hul) timed at #:#:#,2,5018000.0,5042000.0,flags,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 21:23:38,24000.0
2025-austrian-grand-prix-r,Austrian Grand Prix,waved blue flag for car # (oco) timed at #:#:#,2,5512000.0,5537000.0,flags,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:31:51,25000.0
2025-australian-grand-prix-r,Australian Grand Prix,waved blue flag for car # (law) timed at #:#:#,2,4381000.0,4418000.0,flags,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 16:13:00,37000.0
2025-hungarian-grand-prix-r,Hungarian Grand Prix,waved blue flag for car # (had) timed at #:#:#,2,5481000.0,5519000.0,flags,WAVED BLUE FLAG FOR CAR 6 (HAD) TIMED AT 16:31:21,38000.0
2025-bahrain-grand-prix-r,Bahrain Grand Prix,double yellow in track sector #,2,6754000.0,6807000.0,flags,DOUBLE YELLOW IN TRACK SECTOR 1,53000.0
2025-austrian-grand-prix-r,Austrian Grand Prix,double yellow in track sector #,2,1109000.0,1168000.0,flags,DOUBLE YELLOW IN TRACK SECTOR 6,59000.0
2025-bahrain-grand-prix-r,Bahrain Grand Prix,car # (bea) time #:#.# deleted - track limits at turn # lap # #:#:#,2,5667000.0,5734000.0,other,CAR 87 (BEA) TIME 1:38.548 DELETED - TRACK LIMITS AT TURN 13 LAP 52 19:31:42,67000.0
2025-mexico-city-grand-prix-r,Mexico City Grand Prix,track surface slippery in track sector #,2,371000.0,440000.0,other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3,69000.0
2025-singapore-grand-prix-r,Singapore Grand Prix,car # (ver) time #:#.# deleted - track limits at turn # lap # #:#:#,2,3853000.0,3929000.0,other,CAR 1 (VER) TIME 1:36.420 DELETED - TRACK LIMITS AT TURN 2 LAP 37 21:02:16,76000.0
2025-monaco-grand-prix-r,Monaco Grand Prix,car # (rus) time #:#.# deleted - track limits at turn # lap # #:#:#,2,4029000.0,4108000.0,other,CAR 63 (RUS) TIME 1:19.959 DELETED - TRACK LIMITS AT TURN 10 LAP 47 16:06:25,79000.0
2025-singapore-grand-prix-r,Singapore Grand Prix,car # (oco) time #:#.# deleted - track limits at turn # lap # #:#:#,2,5225000.0,5305000.0,other,CAR 31 (OCO) TIME 1:40.651 DELETED - TRACK LIMITS AT TURN 19 LAP 50 21:26:31,80000.0
2025-spanish-grand-prix-r,Spanish Grand Prix,waved blue flag for car # (hul) timed at #:#:#,2,4525000.0,4612000.0,flags,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:15:24,87000.0
2025-miami-grand-prix-r,Miami Grand Prix,waved blue flag for car # (str) timed at #:#:#,2,4503000.0,4594000.0,flags,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 17:15:02,91000.0
2025-singapore-grand-prix-r,Singapore Grand Prix,car # (hul) lap deleted - track limits at turn # lap # #:#:# (pit),2,4617000.0,4714000.0,other,CAR 27 (HUL) LAP DELETED - TRACK LIMITS AT TURN 7 LAP 44 21:15:26 (PIT),97000.0
2025-spanish-grand-prix-r,Spanish Grand Prix,double yellow in track sector #,2,4606000.0,4744000.0,flags,DOUBLE YELLOW IN TRACK SECTOR 12,138000.0
2025-miami-grand-prix-r,Miami Grand Prix,waved blue flag for car # (law) timed at #:#:#,2,3519000.0,3685000.0,flags,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 16:58:38,166000.0
2025-abu-dhabi-grand-prix-r,Abu Dhabi Grand Prix,car # (tsu) time #:#.# deleted - track limits at turn # lap # #:#:#,2,961000.0,1137000.0,other,CAR 22 (TSU) TIME 1:30.395 DELETED - TRACK LIMITS AT TURN 1 LAP 8 17:14:16,176000.0
2025-bahrain-grand-prix-r,Bahrain Grand Prix,car # (ant) lap deleted - track limits at turn # lap # #:#:#,2,387000.0,585000.0,other,CAR 12 (ANT) LAP DELETED - TRACK LIMITS AT TURN 7 LAP 1 18:04:28,198000.0
2025-mexico-city-grand-prix-r,Mexico City Grand Prix,drs enabled in zone #,2,440000.0,653000.0,drs,DRS ENABLED IN ZONE 2,213000.0
