session_id,year,event_name,driver_code,aligned_rows,non_ok_rows,car_gap_rows,car_sample_old_rows,location_gap_rows,location_sample_old_rows,other_unknown_rows,car_related_rows,location_related_rows,non_ok_pct,longest_segment_ms,segments_over_2s,degraded_windows,severe_windows,windows_with_incident_context,max_window_non_ok_pct,desktop_replay_risk_score,desktop_guidance
2025-british-grand-prix-r,2025,British Grand Prix,HAD,23134,633,206,67,315,45,0,273,361,2.736232385233855,1300,0,52,1,55,10.333333333333334,19.711596207602085,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,ANT,29989,779,272,79,370,58,0,351,429,2.597619127013238,1300,0,63,1,71,10.333333333333334,19.15714317471962,diagnostics_only
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,OCO,52369,967,540,118,274,35,0,658,706,1.8465122496133208,1300,0,78,1,16,13.924050632911392,19.0252895047824,diagnostics_only
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,HUL,57930,860,475,135,205,45,0,610,615,1.4845503193509408,1900,0,77,1,44,15.18987341772152,18.59010001158098,diagnostics_only
2025-italian-grand-prix-r,2025,Italian Grand Prix,LEC,44300,841,530,98,189,24,0,628,575,1.8984198645598194,1400,0,62,1,13,13.0,18.493679458239278,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,ALB,11999,335,177,28,111,19,0,205,134,2.791899324943745,1300,0,28,0,23,9.0,18.36759729977498,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,ALO,30571,699,456,82,138,23,0,538,451,2.2864806515979197,2300,1,51,0,54,9.0,18.345922606391678,diagnostics_only
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,COL,52177,1239,480,124,521,114,0,604,649,2.374609502271116,1700,0,97,1,26,10.333333333333334,18.265104675751132,diagnostics_only
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,SAI,49311,814,512,97,170,35,0,609,584,1.6507472977631765,1500,0,70,2,32,13.095238095238097,18.079179667243185,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,LEC,50472,1372,643,115,526,88,0,758,621,2.7183388809637026,1500,0,110,0,46,9.0,18.07335552385481,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,BEA,50525,1372,643,115,526,88,0,758,621,2.7154873824839187,1500,0,110,0,46,9.0,18.061949529935674,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,HAD,50556,1372,643,115,526,88,0,758,621,2.713822296067727,1500,0,110,0,46,9.0,18.055289184270908,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,HAM,50565,1372,643,115,526,88,0,758,621,2.713339266290913,1500,0,110,0,46,9.0,18.053357065163652,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,GAS,50607,1372,643,115,526,88,0,758,621,2.711087398976426,1500,0,110,0,46,9.0,18.044349595905704,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,STR,50620,1372,643,115,526,88,0,758,621,2.7103911497431845,1500,0,110,0,46,9.0,18.041564598972737,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,COL,50652,1372,643,115,526,88,0,758,621,2.7086788280818133,1500,0,110,0,46,9.0,18.034715312327254,diagnostics_only
