session_id,year,event_name,driver_code,driver_number,stream_name,sample_count,min_delta_ms,median_delta_ms,p90_delta_ms,p99_delta_ms,max_delta_ms,estimated_frequency_hz,duplicate_count,out_of_order_count,warning_flags
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,ALB,23,raw_car_telemetry,20620,159.0,240.0,400.0,480.8199999999997,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,ALB,23,raw_location_telemetry,20933,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,ALO,14,raw_car_telemetry,1659,159.0,240.0,400.0,519.4300000000001,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,ALO,14,raw_location_telemetry,1684,20.0,240.0,381.0,519.1800000000001,1360.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,ANT,12,raw_car_telemetry,20611,159.0,240.0,400.0,480.90999999999985,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,ANT,12,raw_location_telemetry,20924,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,BEA,87,raw_car_telemetry,20638,159.0,240.0,400.0,480.6399999999994,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,BEA,87,raw_location_telemetry,20954,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,BOR,5,raw_car_telemetry,20448,159.0,240.0,400.0,481.0,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,BOR,5,raw_location_telemetry,20756,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,DOO,7,raw_car_telemetry,20698,159.0,240.0,400.0,481.0,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
