session_id,year,event_name,rotation_degrees,circuit_marker_id,marker_type,marker_number,marker_letter,x,y,angle_degrees,distance_m,position_xy_samples,position_driver_count,x_min,x_max,y_min,y_max,x_p01,x_p99,y_p01,y_p99,has_marker,minmax_pad_x,minmax_pad_y,core_pad_x,core_pad_y,outside_minmax_bounds,outside_core_bounds,marker_coordinate_issue
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2081,marshal_sector,1,,-1185.0,-1341.0,-128.91793170608514,5.6963564719124395,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2082,marshal_sector,2,,-2897.316162109375,282.3703918457031,-133.39770213493657,236.5379734807988,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2083,marshal_sector,3,,-3816.246826171875,2784.653076171875,34.94684248617441,529.1740262872356,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2084,marshal_sector,4,,-5106.5517578125,4022.3212890625,-136.08232868540006,702.6268169190382,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2085,marshal_sector,5,,-6851.27294921875,6234.69921875,-146.2551691259889,974.5764657186666,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2086,marshal_sector,6,,-6348.359375,7388.1748046875,-75.58025509911917,1174.9663683307165,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2087,marshal_sector,7,,-5947.0,9210.0947265625,179.87952660397895,1385.3560177531126,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2088,marshal_sector,8,,-4930.30712890625,10588.7939453125,123.76811625367651,1572.8846821711568,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2089,marshal_sector,9,,-3455.983642578125,11298.6796875,114.64306373485252,1730.8311416234474,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2090,marshal_sector,10,,-375.0901794433594,11185.6640625,72.48637235657803,2062.4694955529353,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2091,marshal_sector,11,,1152.09326171875,8734.8203125,6.960332473590043,2362.975663497161,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2092,marshal_sector,12,,531.9359130859375,5861.13623046875,155.92037879752093,2655.1147135563738,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2093,marshal_sector,13,,381.896728515625,3724.301513671875,-167.22899526992987,2868.067700453639,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2094,marshal_sector,14,,2043.3704833984375,1304.975830078125,-129.64005413572556,3174.007928695763,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2095,marshal_sector,15,,3740.939697265625,854.5201416015625,91.4790834558628,3361.0273726464043,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2096,marshal_sector,16,,6430.1123046875,-1370.0889892578125,29.552475582639428,3712.7161299550544,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
