session_id,year,event_name,driver_code,aligned_rows,non_ok_rows,car_gap_rows,car_sample_old_rows,location_gap_rows,location_sample_old_rows,other_unknown_rows,car_related_rows,location_related_rows,non_ok_pct
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,STR,52022,1219,470,124,511,114,0,594,639,2.343239398715928
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,ALB,51624,1208,470,124,500,114,0,594,628,2.339996900666357
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,BEA,51957,1208,470,124,500,114,0,594,628,2.324999518832881
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,BOR,51788,1208,470,124,500,114,0,594,628,2.332586699621534
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,GAS,51953,1208,470,124,500,114,0,594,628,2.3251785267453275
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,HAM,51631,1208,470,124,500,114,0,594,628,2.3396796498227808
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,HUL,51960,1208,470,124,500,114,0,594,628,2.3248652809853736
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,LAW,51745,1208,470,124,500,114,0,594,628,2.3345250748864625
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,RUS,51574,1208,470,124,500,114,0,594,628,2.3422654826075155
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,TSU,51978,1208,470,124,500,114,0,594,628,2.32406017930663
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,LEC,51428,1196,458,124,500,114,0,582,628,2.3255813953488373
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,VER,51442,1196,458,124,500,114,0,582,628,2.3249484856731852
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,HAD,51354,1185,458,124,489,114,0,582,617,2.3075125598784907
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,NOR,51259,1185,458,124,489,114,0,582,617,2.3117891492225753
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,PIA,51225,1185,458,124,489,114,0,582,617,2.3133235724743777
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,ANT,59259,1172,809,141,156,66,0,950,718,1.9777586526941056
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,BEA,59189,1172,809,141,156,66,0,950,718,1.9800976532801704
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,BOR,59549,1172,809,141,156,66,0,950,718,1.9681270886160975
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,COL,59225,1172,809,141,156,66,0,950,718,1.9788940481215704
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,GAS,59219,1172,809,141,156,66,0,950,718,1.9790945473581112
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,HAM,59344,1172,809,141,156,66,0,950,718,1.974925856025883
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,OCO,59534,1172,809,141,156,66,0,950,718,1.968622971747237
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,PIA,59201,1172,809,141,156,66,0,950,718,1.9796962889140388
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,RUS,59282,1172,809,141,156,66,0,950,718,1.9769913295772747
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,TSU,59570,1172,809,141,156,66,0,950,718,1.967433271781098
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,LEC,59084,1171,809,140,156,66,0,949,718,1.981924040349333
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,VER,59091,1171,809,140,156,66,0,949,718,1.9816892589396018
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,ALB,58804,1159,798,140,155,66,0,938,706,1.970954356846473
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,HAD,58846,1159,798,140,155,66,0,938,706,1.9695476328042687
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,NOR,58782,1159,798,140,155,66,0,938,706,1.9716920145622812
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,STR,58850,1159,798,140,155,66,0,938,706,1.969413763806287
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,SAI,57636,1141,798,134,145,64,0,932,691,1.9796654868484975
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,LEC,40970,1138,572,91,386,89,0,663,481,2.7776421772028312
2025-australian-grand-prix-r,2025,Australian Grand Prix,ALB,61389,1070,692,138,176,64,0,830,694,1.7429832706185149
2025-australian-grand-prix-r,2025,Australian Grand Prix,ANT,61363,1070,692,138,176,64,0,830,694,1.7437217867444552
2025-australian-grand-prix-r,2025,Australian Grand Prix,BEA,61665,1070,692,138,176,64,0,830,694,1.7351820319468094
2025-australian-grand-prix-r,2025,Australian Grand Prix,GAS,61526,1070,692,138,176,64,0,830,694,1.7391021681890582
2025-australian-grand-prix-r,2025,Australian Grand Prix,HAM,61486,1070,692,138,176,64,0,830,694,1.740233549100608
2025-australian-grand-prix-r,2025,Australian Grand Prix,HUL,61447,1070,692,138,176,64,0,830,694,1.74133806369717
2025-australian-grand-prix-r,2025,Australian Grand Prix,LEC,61461,1070,692,138,176,64,0,830,694,1.7409414099998373
2025-australian-grand-prix-r,2025,Australian Grand Prix,OCO,61594,1070,692,138,176,64,0,830,694,1.7371821930707538
2025-australian-grand-prix-r,2025,Australian Grand Prix,PIA,61465,1070,692,138,176,64,0,830,694,1.7408281135605628
2025-australian-grand-prix-r,2025,Australian Grand Prix,RUS,61345,1070,692,138,176,64,0,830,694,1.74423343385769
2025-australian-grand-prix-r,2025,Australian Grand Prix,STR,61437,1070,692,138,176,64,0,830,694,1.741621498445562
2025-australian-grand-prix-r,2025,Australian Grand Prix,TSU,61560,1070,692,138,176,64,0,830,694,1.7381416504223521
2025-australian-grand-prix-r,2025,Australian Grand Prix,NOR,61262,1059,681,138,176,64,0,819,694,1.7286409193300907
2025-australian-grand-prix-r,2025,Australian Grand Prix,VER,61270,1059,681,138,176,64,0,819,694,1.7284152113595561
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,BEA,40397,1044,463,101,408,72,0,564,482,2.5843503230437905
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,ALO,55237,999,601,137,204,57,0,738,721,1.8085703423429949
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,BEA,55165,999,601,137,204,57,0,738,721,1.81093084383214
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,BOR,55205,999,601,137,204,57,0,738,721,1.8096186939588805
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,COL,55198,999,601,137,204,57,0,738,721,1.8098481829051778
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,GAS,55208,999,601,137,204,57,0,738,721,1.8095203593682077
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,HAD,55214,999,601,137,204,57,0,738,721,1.8093237222443583
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,HAM,55234,999,601,137,204,57,0,738,721,1.8086685737046022
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,HUL,55280,999,601,137,204,57,0,738,721,1.807163531114327
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,LEC,55161,999,601,137,204,57,0,738,721,1.811062163485071
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,OCO,55141,999,601,137,204,57,0,738,721,1.811719047532689
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,PIA,55147,999,601,137,204,57,0,738,721,1.811521932290061
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,SAI,55145,999,601,137,204,57,0,738,721,1.8115876326049507
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,STR,55218,999,601,137,204,57,0,738,721,1.8091926545691621
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,TSU,55184,999,601,137,204,57,0,738,721,1.8103073354595534
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,ANT,55133,998,601,136,204,57,0,737,721,1.8101681388642012
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,RUS,55127,998,601,136,204,57,0,737,721,1.810365156819707
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,VER,55129,998,601,136,204,57,0,737,721,1.8102994794028553
2025-miami-grand-prix-r,2025,Miami Grand Prix,GAS,54220,990,593,117,240,40,0,710,673,1.8258945038731096
2025-miami-grand-prix-r,2025,Miami Grand Prix,ALB,53797,989,593,116,240,40,0,709,673,1.838392475416845
