session_id,year,event_name,quality_flag,rows
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,CAR_GAP_TOO_LARGE,14466
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,LOCATION_GAP_TOO_LARGE,9687
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,CAR_SAMPLE_TOO_OLD,7461
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,LOCATION_SAMPLE_TOO_OLD,6148
2025-miami-grand-prix-r,2025,Miami Grand Prix,OK,937537
2025-miami-grand-prix-r,2025,Miami Grand Prix,CAR_GAP_TOO_LARGE,10514
2025-miami-grand-prix-r,2025,Miami Grand Prix,LOCATION_GAP_TOO_LARGE,9995
2025-miami-grand-prix-r,2025,Miami Grand Prix,CAR_SAMPLE_TOO_OLD,5785
2025-miami-grand-prix-r,2025,Miami Grand Prix,LOCATION_SAMPLE_TOO_OLD,5156
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,OK,1108532
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,CAR_GAP_TOO_LARGE,14257
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,LOCATION_GAP_TOO_LARGE,12641
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,CAR_SAMPLE_TOO_OLD,7997
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,LOCATION_SAMPLE_TOO_OLD,6441
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,OK,947098
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,LOCATION_GAP_TOO_LARGE,9740
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,CAR_GAP_TOO_LARGE,9667
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,CAR_SAMPLE_TOO_OLD,5790
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,LOCATION_SAMPLE_TOO_OLD,5434
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,OK,871185
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,CAR_GAP_TOO_LARGE,9251
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,LOCATION_GAP_TOO_LARGE,8912
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,CAR_SAMPLE_TOO_OLD,4779
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,LOCATION_SAMPLE_TOO_OLD,4252
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,OK,1193991
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,CAR_GAP_TOO_LARGE,11821
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,LOCATION_GAP_TOO_LARGE,8563
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,CAR_SAMPLE_TOO_OLD,6225
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,LOCATION_SAMPLE_TOO_OLD,5025
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,OK,1004830
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,CAR_GAP_TOO_LARGE,10062
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,LOCATION_GAP_TOO_LARGE,7805
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,CAR_SAMPLE_TOO_OLD,5045
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,LOCATION_SAMPLE_TOO_OLD,4263
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,OK,968456
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,CAR_GAP_TOO_LARGE,9769
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,LOCATION_GAP_TOO_LARGE,8811
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,LOCATION_SAMPLE_TOO_OLD,5088
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,CAR_SAMPLE_TOO_OLD,4949
2025-united-states-grand-prix-r,2025,United States Grand Prix,OK,1068033
2025-united-states-grand-prix-r,2025,United States Grand Prix,CAR_GAP_TOO_LARGE,12224
2025-united-states-grand-prix-r,2025,United States Grand Prix,LOCATION_GAP_TOO_LARGE,7595
2025-united-states-grand-prix-r,2025,United States Grand Prix,CAR_SAMPLE_TOO_OLD,6145
2025-united-states-grand-prix-r,2025,United States Grand Prix,LOCATION_SAMPLE_TOO_OLD,5434
