session_id,year,event_name,surface,surface_key,start_ms,end_ms,span_ms,derived_session_duration_ms,active_replay_start_ms,active_replay_end_ms,active_replay_duration_ms,coverage_ratio,active_coverage_ratio,starts_after_active_ms,ends_before_active_end_ms
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,session status,session_status,6127,9560014,9553887,9560014,3368914,9474614,6105700,0.9993591013569645,1.0,-3362787,-85400
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,race control,race_control,189000,6353000,6164000,9560014,3368914,9474614,6105700,0.6447689302547046,0.4887377368688275,-3179914,3121614
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,raw telemetry,telemetry,3553469,9163049,5609580,9494399,3553802,9163002,5609200,0.5908304464558526,1.0,-333,-47
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,raw position,position,197905,5807389,5609484,9494399,3553802,9163002,5609200,0.5908203352313296,0.40176620551950365,-3355897,3355613
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,aligned replay,aligned,3553802,9163002,5609200,9494399,3553802,9163002,5609200,0.5907904228587824,1.0,0,0
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,weather,weather,17775,9258428,9240653,9494399,3553802,9163002,5609200,0.973274137731098,1.0,-3536027,-95426
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,track status,track_status,0,8657036,8657036,9494399,3553802,9163002,5609200,0.9118045281223172,0.9097971190187549,-3553802,505966
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,session status,session_status,12231,9494399,9482168,9494399,3553802,9163002,5609200,0.9987117668006158,1.0,-3541571,-331397
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,race control,race_control,198000,6138000,5940000,9494399,3553802,9163002,5609200,0.6256320173609725,0.46070705269913714,-3355802,3025002
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,raw telemetry,telemetry,3479622,9007880,5528258,10394423,3479645,9007545,5527900,0.5318484729744017,1.0,-23,-335
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,raw position,position,184696,5712698,5528002,10394423,3479645,9007545,5527900,0.531823844382704,0.4039604551457154,-3294949,3294847
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,aligned replay,aligned,3479645,9007545,5527900,10394423,3479645,9007545,5527900,0.5318140314281995,1.0,0,0
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,weather,weather,34453,9995075,9960622,10394423,3479645,9007545,5527900,0.9582659855193502,1.0,-3445192,-987530
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,track status,track_status,0,9279834,9279834,10394423,3479645,9007545,5527900,0.8927704789385615,1.0,-3479645,-272289
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,session status,session_status,10781,10394423,10383642,10394423,3479645,9007545,5527900,0.9989628091910441,1.0,-3468864,-1386878
